,No.,Name,Yr.,Ht.,Wt.,DOB,Hometown,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,School
,4,"Bengtsson, Jacob",So,6-3,202,5/8/1999,"Stockholm, Sweden",Defensemen,75,,,,Waterloo,USHL,Lake-Superior
,23,"Borshyov, Artyom",So,6-3,210,8/22/2000,"Vitebsk, Belarus",Defensemen,75,,,,Youngstown,USHL,Lake-Superior
,25,"Gervais, Jeremy",So,5-11,180,1/9/1999,"Prince George, B.C.",Defensemen,71,,,,Salmon Arm,BCHL,Lake-Superior
,5,"Henrikson, Arvid",Jr,6-5,211,2/23/1998,"Stockholm, Sweden",Defensemen,77,2016,MTL,7,Des Moines,USHL,Lake-Superior
,20,"Hindman, Grant",Fr,6-0,200,5/16/2002,"Oakland, Mich.",Defensemen,72,,,,Youngstown,USHL,Lake-Superior
,17,"Miedema, Sebastian",Fr,6-1,194,9/9/2000,"Gävle, Sweden",Defensemen,73,,,,Sioux Falls,USHL,Lake-Superior
,15,"Nordqvist, Jacob",Sr,5-9,181,2/12/1998,"Gothenburg, Sweden",Defensemen,69,,,,Lake Superior,CCHA,Lake-Superior
,7,"Oliver, Mitchell",Sr,6-0,174,6/17/1997,"Kelowna, B.C.",Defensemen,72,,,,Alberni Valley,BCHL,Lake-Superior
,6,"Willets, Jake",Jr,6-1,190,8/6/1999,"Erie, Mich.",Defensemen,73,,,,Ferris State,WCHA,Lake-Superior
,22,"Bakos, Timo",Fr,6-1,194,7/28/2000,"Augsburg, Germany",Forwards,73,,,,Starbulls,Oberliga,Lake-Superior
,29,"Boudon, Louis",Jr,5-11,172,10/4/1998,"Grenoble, France",Forwards,71,,,,Northeast,NAHL,Lake-Superior
,18,"Craft, Cole",Fr,6-2,195,6/29/2001,"North Bay, Ont.",Forwards,74,,,,Lincoln,USHL,Lake-Superior
,13,"DenBeste, Spencer",So,6-1,185,2/17/1999,"Marquette, Mich.",Forwards,73,,,,Johnstown,NAHL,Lake-Superior
,26,"Jeffers, Jack",Sr,6-0,180,9/21/1997,"Oakville, Ont.",Forwards,72,,,,Ala.-Huntsville,WCHA,Lake-Superior
,8,"Jenuwine, Logan",Fr,6-3,205,5/15/1998,"Romeo, Mich.",Forwards,75,,,,Lake Superior State,CCHA,Lake-Superior
,9,"Manz, Dustin",Jr,5-10,194,9/21/1999,"Vanderbilt, Mich.",Forwards,70,,,,Lake Superior,CCHA,Lake-Superior
,10,"Mucha, Miroslav",Sr,6-1,197,10/7/1997,"Bytča, Slovakia",Forwards,73,,,,Lake Superior,CCHA,Lake-Superior
,24,"Nixon, Josh",Fr,5-8,175,5/9/2000,"Mississauga, Ont.",Forwards,68,,,,Lake Superior,CCHA,Lake-Superior
,27,"Posa, Benito",So,6-1,190,1/16/1999,"Grand Blanc, Mich.",Forwards,73,,,,Des Moines,USHL,Lake-Superior
