Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Princeton,Hobey Baker,0,Forwards,Jr,5-9,161,1/15/1892,"Wisahicton, Pa.",69,,,,,,1912
Cornell,Otho Clark,0,Defensemen,,-,0,5/7/1889,,0,,,,,,1912
Cornell,Clarkson Hope,0,Defensemen,,-,0,3/19/1892,"Roselle, N.J.",0,,,,,,1912
Cornell,Loren Smith,0,Defensemen,,-,0,0/0/1891,"Truro, N.S.",0,,,,,,1912
Cornell,Alfred Day,0,Forwards,,-,0,,,0,,,,,,1912
Cornell,Edward Hill,0,Forwards,,-,0,3/10/1891,,0,,,,,,1912
Cornell,Winthrop Kent,0,Forwards,,-,0,3/24/1891,"Buffalo, N.Y.",0,,,,,,1912
Cornell,William More,0,Forwards,,-,0,,,0,,,,,,1912
Cornell,Edward Scheu,0,Forwards,,-,0,8/28/1890,"Buffalo, N.Y.",0,,,,,,1912
Cornell,Archie Dean Jr.,0,Goaltenders,,-,0,8/21/1891,,0,,,,,,1912
Yale,Walt Cox,0,Forwards,,-,0,,,0,,,,,,1912
Dartmouth,John Dellinger,0,Defensemen,,-,0,,"St. Paul, Minn.",0,,,,,,1912
Dartmouth,Harold Johnson,0,Defensemen,,-,0,,,0,,,,,,1912
Dartmouth,Henry Frost,0,Forwards,,-,0,,,0,,,,,,1912
Dartmouth,William Mason,0,Forwards,,-,0,,"Boston, Mass.",0,,,,,,1912
Dartmouth,Leon Tuck,0,Forwards,So,5-9,181,5/25/1891,"Winchester, Mass.",69,,,,,,1912
Dartmouth,Clarence Wanamaker,0,Forwards,So,-,0,,"Melrose, Mass.",0,,,,,,1912
Dartmouth,Arthur Donahue,0,Goaltenders,,-,0,,"Somerville, Mass.",0,,,,,,1912
Dartmouth,Henry Taylor,0,Goaltenders,,-,0,,,0,,,,,,1912
Harvard,Paul Smart,0,Defensemen,,-,0,1/13/1896,"Yarmouth, N.S.",0,,,,,,1912
Harvard,William Willetts,0,Defensemen,,-,0,5/13/1890,"Skaneateles, N.Y.",0,,,,,,1912
Harvard,William Claflin,0,Forwards,,-,0,6/8/1896,"Swampscott, Mass.",0,,,,,,1912
Harvard,Donald Hanson,0,Forwards,,5-11,161,,,71,,,,,,1912
Harvard,Stephen Hopkins,0,Forwards,,-,0,0/0/1893,"Newtonville, Mass.",0,,,,,,1912
Harvard,Henry Morgan,0,Forwards,,5-9,159,,,69,,,,,,1912
Harvard,Franklin Palmer,0,Forwards,,5-8,141,,"Plattsburgh, N.Y.",68,,,,,,1912
Harvard,Morgan Phillips,0,Forwards,,-,0,,"Newton Center, Mass.",0,,,,,,1912
Harvard,Alvin Sortwell,0,Forwards,,5-6,146,,"Wiscasset, Mass.",66,,,,,,1912
Harvard,Henry Gardner,0,Goaltenders,,5-9,152,,,69,,,,,,1912
Mass Agricultural,Herbert Archibald,0,Forwards,,-,0,,,0,,,,,,1912
Mass Agricultural,Charlesworth Brewer,0,Forwards,,-,0,,,0,,,,,,1912
Mass Agricultural,Ray Chisholm,0,Forwards,Fr,-,0,,,0,,,,,,1912
Mass Agricultural,Charles Fernald,0,Forwards,Fr,-,0,,,0,,,,,,1912
Mass Agricultural,John Hutchinson,0,Forwards,,-,0,,,0,,,,,,1912
Mass Agricultural,Arthur Johnson,0,Forwards,,-,0,,,0,,,,,,1912
Mass Agricultural,Dittmar Jones,0,Forwards,Jr,-,0,,,0,,,,,,1912
Mass Agricultural,Willard Little,0,Forwards,,-,0,,,0,,,,,,1912
Mass Agricultural,Lester Needham,0,Forwards,Jr,-,0,,,0,,,,,,1912
