Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Harvard,Proctor Carr,0,Defensemen,,1-May,152,,"Andover, N.H.",61,,,,,,1902
Harvard,William Clothier,0,Defensemen,,-,0,9/27/1881,"Sharon Hill, Pa.",0,,,,,,1902
Harvard,Joseph Lovering,0,Defensemen,,-,0,1/7/1882,"Boston, Mass.",0,,,,,,1902
Harvard,Daniel Newhall,0,Defensemen,Fr,-,0,12/3/1884,"Philadelphia, Pa.",0,,,,,,1902
Harvard,John Manning,0,Goaltenders,Jr,-,0,6/3/1879,"Boston, Mass.",0,,,,,,1902
Brown,Horatio Otis,0,Forwards,Jr,-,0,11/29/1883,"Providence, R.I.",0,,,,,,1902
Brown,Eliot Scudder,0,Forwards,,-,0,11/1/1882,"Brockton, Mass.",0,,,,,,1902
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
