Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
New Hampshire,Tim Burke,0,Defensemen,Fr,6-0,190,5/29/1955,"Melrose, Mass.",72,,,,,,1973
New Hampshire,Jim Harvie,0,Defensemen,Fr,-,0,11/11/1954,,0,,,,,,1973
New Hampshire,Glenn Hunter,0,Defensemen,Jr,5-10,181,10/12/1953,"Boston, Mass.",70,,,,,,1973
New Hampshire,John King,0,Defensemen,,5-10,181,4/4/1952,"Sault Ste. Marie, Ont.",70,,,,,,1973
New Hampshire,Tom Osenton,0,Defensemen,,-,0,4/9/1953,,0,,,,,,1973
New Hampshire,Paul Powers,0,Defensemen,Fr,5-8,174,8/24/1955,"Melrose, Mass.",68,,,,,,1973
New Hampshire,Joe Rando,0,Defensemen,Fr,6-1,201,4/10/1955,"Dedham, Mass.",73,,,,,,1973
New Hampshire,Frank Anzalone,0,Forwards,,5-7,172,3/13/1954,"Brooklyn, N.Y.",67,,,,,,1973
New Hampshire,Dave Bertollo,0,Forwards,Jr,6-0,194,5/5/1952,"Cambridge, Ont.",72,,,,,,1973
New Hampshire,Warren Brown,0,Forwards,,6-1,194,7/21/1954,"Scarborough, Ont.",73,,,,,,1973
New Hampshire,Mike Burkhart,0,Forwards,Jr,-,0,10/31/1951,"Toronto, Ont.",0,,,,,,1973
New Hampshire,Gordie Clark,0,Forwards,Sr,5-10,181,5/31/1952,"Glasgow, Great Britain",70,,,,,,1973
New Hampshire,Cliff Cox,0,Forwards,So,5-8,174,10/31/1954,"Don Mills, Ont.",68,,,,,,1973
New Hampshire,Fred Daley,0,Forwards,,-,0,9/10/1951,"Hanover, N.H.",0,,,,,,1973
New Hampshire,Barry Edgar,0,Forwards,Fr,-,0,7/8/1954,"Petrolia, Ont.",0,,,,,,1973
New Hampshire,Ed Freni,0,Forwards,,-,0,2/5/1952,"Lynnfield, Mass.",0,,,,,,1973
New Hampshire,Jamie Hislop,0,Forwards,So,5-10,181,1/20/1954,"Sarnia, Ont.",70,,,,,,1973
New Hampshire,Dave Lumley,0,Forwards,Fr,5-11,185,9/1/1954,"Toronto, Ont.",71,,,,,,1973
New Hampshire,Gordon MacRae,0,Forwards,,-,0,2/21/1954,,0,,,,,,1973
New Hampshire,Rick Olmstead,0,Forwards,,-,0,7/21/1951,"Peterborough, Ont.",0,,,,,,1973
New Hampshire,Rudy Palermo,0,Forwards,Fr,-,0,3/16/1954,,0,,,,,,1973
New Hampshire,Tony Thibeault,0,Forwards,,6-0,190,8/27/1953,"Sudbury, Ont.",72,,,,,,1973
New Hampshire,Seth Barnum,0,Goaltenders,,-,0,0/0/1954,,0,,,,,,1973
New Hampshire,Barney Buppert,0,Goaltenders,,-,0,12/23/1953,,0,,,,,,1973
New Hampshire,Dan Magnarelli,0,Goaltenders,Fr,5-10,181,7/14/1955,"Brighton, Mass.",70,,,,,,1973
New Hampshire,Robert Raeder,0,Goaltenders,,6-0,181,10/8/1953,"Portland, Maine",72,,,,,,1973
Brown,John Ahern,0,Defensemen,,5-11,194,1/27/1954,"West Roxbury, Mass.",71,,,,,,1973
Brown,Thomas Colehour,0,Defensemen,,5-10,170,,,70,,,,,,1973
Brown,Gary Faryniuk,0,Defensemen,,6-3,0,,,75,,,,,,1973
Brown,Peter Rotelli,0,Defensemen,,-,0,,,0,,,,,,1973
Brown,Keith Smith,0,Defensemen,,6-1,181,5/7/1953,"Burlington, Ont.",73,,,,,,1973
Brown,Paul Wormith,0,Defensemen,,5-9,181,,"Sarnia, Ont.",69,,,,,,1973
Brown,Michael Flanagan,0,Forwards,,-,0,,"Arlington, Mass.",0,,,,,,1973
Brown,Richard Gamble,0,Forwards,,-,0,,,0,,,,,,1973
Brown,Dave Given,0,Forwards,,6-1,185,5/14/1954,"Summit, N.J.",73,,,,,,1973
Brown,Rick Heimbach,0,Forwards,,-,0,,"Duluth, Minn.",0,,,,,,1973
Brown,Norman Howarth,0,Forwards,,-,0,,,0,,,,,,1973
Brown,Robert Mars,0,Forwards,,5-10,170,,"Duluth, Minn.",70,,,,,,1973
Brown,Steve Menich,0,Forwards,,5-8,154,,"Kitchener, Ont.",68,,,,,,1973
Brown,Doug Smith,0,Forwards,,-,0,,"Cranston, R.I.",0,,,,,,1973
Brown,Brian Stapleton,0,Forwards,,6-2,190,12/25/1951,"Fort Erie, Ont.",74,,,,,,1973
Brown,David Stevenson,0,Forwards,,6-1,185,7/6/1952,"Springfield, Mass.",73,,,,,,1973
Brown,Jari Stromberg,0,Forwards,,6-1,190,,"St. Mary's, Ont.",73,,,,,,1973
Brown,Gregory Vezzosi,0,Forwards,,5-8,154,,"Chatham Township, N.J.",68,,,,,,1973
Brown,Jim Madich,0,Goaltenders,,-,0,,,0,,,,,,1973
Brown,David Sagaser,0,Goaltenders,,-,0,,,0,,,,,,1973
Yale,Michael Flatters,0,Defensemen,,-,0,,"Ottawa, Ont.",0,,,,,,1973
Yale,Gerald Gray,0,Defensemen,,-,0,,,0,,,,,,1973
Yale,Keith Miller,0,Defensemen,,-,0,,,0,,,,,,1973
Yale,D'Arcy Ryan,0,Defensemen,Jr,6-0,181,1/2/1952,"New Liskeard, Ont.",72,,,,,,1973
Yale,Gary Balzhiser,0,Forwards,,-,0,,,0,,,,,,1973
Yale,Larry Bisaro,0,Forwards,,-,0,,,0,,,,,,1973
Yale,David Buchar,0,Forwards,,-,0,,"Schumacher, Ont.",0,,,,,,1973
Yale,John Clark,0,Forwards,,-,0,6/21/1959,,0,,,,,,1973
Yale,Ronald Graber,0,Forwards,,-,0,,,0,,,,,,1973
Yale,Robert Kane,0,Forwards,,-,0,,,0,,,,,,1973
Yale,David Mayer,0,Forwards,,-,0,,,0,,,,,,1973
Yale,Frank Paveck,0,Forwards,,-,0,,,0,,,,,,1973
Yale,Mark Sargent,0,Forwards,,-,0,,,0,,,,,,1973
Yale,Michael Walsh,0,Forwards,,-,0,,,0,,,,,,1973
Yale,Kenneth MacKenzie,0,Goaltenders,,-,0,,"Sault Ste. Marie, Ont.",0,,,,,,1973
Yale,Gerald Stenson,0,Goaltenders,,-,0,,"Greenwich, Conn.",0,,,,,,1973
Minnesota,Joe Micheletti,0,Defensemen,Fr,6-0,194,10/24/1954,"International Falls, Minn.",72,,,,,,1973
Minnesota,Les Auge,0,Defensemen,Jr,5-11,185,5/16/1953,"St. Paul, Minn.",71,,,,,,1973
Minnesota,Doug Falls,0,Defensemen,,5-11,185,1/6/1952,"Minneapolis, Minn.",71,,,,,,1973
Minnesota,Brad Morrow,0,Defensemen,So,6-1,181,7/15/1954,"Anoka, Minn.",73,,,,,,1973
Minnesota,John Perpich,0,Defensemen,Sr,6-0,185,,"Hibbing, Minn.",72,,,,,,1973
Minnesota,Dick Spannbauer,0,Defensemen,,6-2,220,3/9/1954,"St. Paul, Minn.",74,,,,,,1973
Minnesota,Tim Carlson,0,Forwards,Jr,6-1,185,,"Edina, Minn.",73,,,,,,1973
Minnesota,Bruce Carlson,0,Forwards,Sr,6-0,185,2/19/1952,"Edina, Minn.",72,,,,,,1973
Minnesota,Calvin Cossalter,0,Forwards,,6-0,174,,"Eveleth, Minn.",72,,,,,,1973
Minnesota,Thomas Dahlheim,0,Forwards,Jr,6-0,185,,"Bloomington, Minn.",72,,,,,,1973
Minnesota,Rob Harris,0,Forwards,Jr,6-0,181,12/4/1953,"Roseau, Minn.",72,,,,,,1973
Minnesota,John Harris,0,Forwards,Sr,6-0,174,,"Roseau, Minn.",72,,,,,,1973
Minnesota,John Matschke,0,Forwards,Sr,5-11,174,,"White Bear Lake, Minn.",71,,,,,,1973
Minnesota,Warren Miller,0,Forwards,So,5-11,165,6/15/1953,"South St. Paul, Minn.",71,,,,,,1973
Minnesota,Pat Phippen,0,Forwards,,5-11,181,1/29/1953,"Roseville, Minn.",71,,,,,,1973
Minnesota,Michael Phippen,0,Forwards,,-,0,,,0,,,,,,1973
Minnesota,Mike Polich,0,Forwards,Jr,5-8,170,12/19/1953,"Hibbing, Minn.",68,,,,,,1973
Minnesota,Buzz Schneider,0,Forwards,,5-11,181,9/14/1954,"Grand Rapids, Minn.",71,,,,,,1973
Minnesota,John Sheridan,0,Forwards,,6-0,181,9/18/1954,"Minneapolis, Minn.",72,,,,,,1973
Minnesota,Tom Vannelli,0,Forwards,Fr,5-8,170,0/0/1955,"St. Paul, Minn.",68,,,,,,1973
Minnesota,Eric Lockwood,0,Goaltenders,,5-11,190,,"Regina, Sask.",71,,,,,,1973
Minnesota,William Moen,0,Goaltenders,,6-0,181,,"Proctor, Minn.",72,,,,,,1973
Minnesota,Bill Moen,0,Goaltenders,,6-1,190,12/14/1954,"Proctor, Minn.",73,,,,,,1973
Minnesota,Thomas Mohr,0,Goaltenders,So,6-0,165,,"Hopkins, Minn.",72,,,,,,1973
Minnesota,Brad Shelstad,0,Goaltenders,Sr,6-3,194,9/14/1952,"Minneapolis, Minn.",75,,,,,,1973
Notre Dame,Dave Bossy,0,Defensemen,,6-3,209,,"Beaconsfield, Que.",75,,,,,,1973
Notre Dame,Roger Bourque,0,Defensemen,Fr,5-10,190,4/11/1955,"Calgary, Alb.",70,,,,,,1973
Notre Dame,Jack Brownschidle,0,Defensemen,Fr,6-2,194,10/2/1955,"Buffalo, N.Y.",74,,,,,,1973
Notre Dame,Steve Curry,0,Defensemen,Sr,5-11,185,0/0/1951,"Edina, Minn.",71,,,,,,1973
Notre Dame,Lewis Curry,0,Defensemen,,-,0,,"Edina, Minn.",0,,,,,,1973
Notre Dame,Les Larson,0,Defensemen,Jr,5-11,185,0/0/1953,"St. Paul, Minn.",71,,,,,,1973
Notre Dame,Rick Martinello,0,Defensemen,,6-0,181,,"Windsor, Ont.",72,,,,,,1973
Notre Dame,Pat Novitzki,0,Defensemen,So,5-10,174,,"Farmington, Minn.",70,,,,,,1973
Notre Dame,Bill Nyrop,0,Defensemen,Sr,6-2,205,7/23/1952,"Edina, Minn.",74,,,,,,1973
Notre Dame,Jim Augustine,0,Forwards,So,5-10,174,,"Chicago, Ill.",70,,,,,,1973
Notre Dame,Eddie Bumbacco,0,Forwards,Sr,5-11,174,1/10/1952,"Sault Ste. Marie, Ont.",71,,,,,,1973
Notre Dame,Tim Byers,0,Forwards,So,5-11,181,,"Bloomington, Minn.",71,,,,,,1973
Notre Dame,Paul Clarke,0,Forwards,Fr,5-11,185,1/27/1955,"Toronto, Ont.",71,,,,,,1973
Notre Dame,Pat Conroy,0,Forwards,Jr,5-9,165,0/0/1953,"St. Paul, Minn.",69,,,,,,1973
Notre Dame,Ray DeLorenzi,0,Forwards,,5-10,181,6/14/1952,"Sault Ste. Marie, Ont.",70,,,,,,1973
Notre Dame,Mike Dunphy,0,Forwards,,6-0,165,,"Antigonish, N.S.",72,,,,,,1973
Notre Dame,Bill Guisti,0,Forwards,,5-11,154,,"Boston, Mass.",71,,,,,,1973
Notre Dame,Clark Hamilton,0,Forwards,Fr,6-3,190,1/12/1955,"Weston, Ont.",75,,,,,,1973
Notre Dame,Dave Howe,0,Forwards,So,5-9,165,,"Bemidji, Minn.",69,,,,,,1973
Notre Dame,Larry Israelson,0,Forwards,Sr,6-1,174,8/2/1952,"Didsbury, Alb.",73,,,,,,1973
Notre Dame,Allen Karsnia,0,Forwards,Fr,5-10,174,,"International Falls, Minn.",70,,,,,,1973
Notre Dame,Rick Locke,0,Forwards,,5-7,146,,"Erie, Pa.",67,,,,,,1973
Notre Dame,Cliff Maison,0,Forwards,,5-11,170,,"St. Clair Shores, Mich.",71,,,,,,1973
Notre Dame,Mark Olive,0,Forwards,So,5-8,161,,"Minneapolis, Minn.",68,,,,,,1973
Notre Dame,Alex Pirus,0,Forwards,,6-1,205,1/12/1955,"Toronto, Ont.",73,,,,,,1973
Notre Dame,Ric Schafer,0,Forwards,Sr,5-9,185,,"New Brighton, Minn.",69,,,,,,1973
Notre Dame,Mike Tardani,0,Forwards,,5-8,170,,"Muskegon, Mich.",68,,,,,,1973
Notre Dame,Neal Ungar,0,Forwards,,5-10,165,,"Sturgis, Mich.",70,,,,,,1973
Notre Dame,Brian Walsh,0,Forwards,Fr,5-8,174,11/6/1954,"Cambridge, Mass.",68,,,,,,1973
Notre Dame,Bill Whiteside,0,Forwards,,5-11,161,,"Philadelphia, Pa.",71,,,,,,1973
Notre Dame,Ian Williams,0,Forwards,Sr,6-0,185,0/0/1951,"Toronto, Ont.",72,,,,,,1973
Notre Dame,Tom Wurst,0,Forwards,,5-10,185,,"Thief River Falls, Minn.",70,,,,,,1973
Notre Dame,David Caron,0,Goaltenders,Fr,6-0,174,,"Edmonton, Alb.",72,,,,,,1973
Notre Dame,Mark Kronholm,0,Goaltenders,Sr,6-0,170,,"South St. Paul, Minn.",72,,,,,,1973
Notre Dame,Tom McCurdy,0,Goaltenders,,5-8,165,,"Springfield, Ill.",68,,,,,,1973
Notre Dame,Don Smith,0,Goaltenders,,5-9,154,,"Westport, Conn.",69,,,,,,1973
Minnesota Duluth,Ernie Campe,0,Defensemen,Sr,-,0,,"Toronto, Ont.",0,,,,,,1973
Minnesota Duluth,Garry Fellner,0,Defensemen,,-,0,,"Regina, Sask.",0,,,,,,1973
Minnesota Duluth,Jim Knapp,0,Defensemen,So,-,0,,"International Falls, Minn.",0,,,,,,1973
Minnesota Duluth,Dave Langevin,0,Defensemen,So,6-2,216,5/15/1954,"St. Paul, Minn.",74,,,,,,1973
Minnesota Duluth,Gord McDonald,0,Defensemen,Jr,-,0,0/0/1952,"Windsor, Ont.",0,,,,,,1973
Minnesota Duluth,Ed O'Brien,0,Defensemen,So,-,0,,"Calgary, Alb.",0,,,,,,1973
Minnesota Duluth,Doug Stratton,0,Defensemen,,-,0,,"Sault Ste. Marie, Ont.",0,,,,,,1973
Minnesota Duluth,Craig Arvidson,0,Forwards,Fr,6-1,194,1/1/1954,"St. Paul, Minn.",73,,,,,,1973
Minnesota Duluth,Doug Christy,0,Forwards,,-,0,,"Grand Rapids, Minn.",0,,,,,,1973
Minnesota Duluth,Rick Francisco,0,Forwards,,-,0,,"Duluth, Minn.",0,,,,,,1973
Minnesota Duluth,Lyman Haakstad,0,Forwards,Sr,-,0,,"Grande Prairie, Alb.",0,,,,,,1973
Minnesota Duluth,Rodney Jones,0,Forwards,,-,0,,"Craik, Sask.",0,,,,,,1973
Minnesota Duluth,Monty Jones,0,Forwards,Fr,-,0,,"Craik, Sask.",0,,,,,,1973
