Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Michigan,Todd Copeland,0,Defensemen,Fr,6-2,216,5/18/1968,"Ridgewood, N.J.",74,,,,,,1986
Michigan,Randy Kwong,0,Defensemen,Fr,6-0,185,3/19/1969,"Calgary, Alb.",72,,,,,,1986
Michigan,Gary Lorden,0,Defensemen,Jr,6-3,190,1/17/1966,"Providence, R.I.",75,,,,,,1986
Michigan,Jeff Norton,0,Defensemen,,6-2,198,11/25/1965,"Acton, Mass.",74,,,,,,1986
Michigan,Myles O'Connor,0,Defensemen,So,5-11,190,4/2/1967,"Calgary, Alb.",71,,,,,,1986
Michigan,Alex Roberts,0,Defensemen,Fr,6-0,20,1/11/1968,"Detroit, Mich.",72,,,,,,1986
Michigan,Brad Turner,0,Defensemen,Fr,6-0,192,5/25/1968,"Winnipeg, Man.",72,,,,,,1986
Michigan,Sean Baker,0,Forwards,Jr,6-0,194,5/21/1966,"Bellevue, Wash.",72,,,,,,1986
Michigan,John Bjorkman,0,Forwards,Sr,5-11,181,7/14/1965,"Warroad, Minn.",71,,,,,,1986
Michigan,Todd Brost,0,Forwards,So,5-8,179,9/23/1967,"Calgary, Alb.",68,,,,,,1986
Michigan,Rob Brown,0,Forwards,Fr,5-8,170,1/28/1968,"Williamston, Mich.",68,,,,,,1986
Michigan,Fritz Brown,0,Forwards,,6-3,201,,"Kalamazoo, Mich.",75,,,,,,1986
Michigan,Mike Cusack,0,Forwards,,6-1,174,9/23/1966,"Anchorage, Alaska",73,,,,,,1986
Michigan,Bryan Deasley,0,Forwards,,6-3,205,11/26/1968,"Toronto, Ont.",75,,,,,,1986
Michigan,Brad Jones,0,Forwards,Sr,6-0,196,6/26/1965,"Sterling Heights, Mich.",72,,,,,,1986
Michigan,Joe Lockwood,0,Forwards,Jr,6-0,181,3/21/1965,"Milford, Mich.",72,,,,,,1986
Michigan,Bruce MacNab,0,Forwards,Sr,6-0,170,7/16/1965,"Edmonton, Alb.",72,,,,,,1986
Michigan,Brad McCaughey,0,Forwards,Jr,6-1,194,6/10/1966,"Ann Arbor, Mich.",73,,,,,,1986
Michigan,Mike Moes,0,Forwards,Fr,5-11,185,3/30/1967,"Burlington, Ont.",71,,,,,,1986
Michigan,Ryan Pardoski,0,Forwards,Fr,6-1,181,8/19/1968,"Calgary, Alb.",73,,,,,,1986
Michigan,Billy Powers,0,Forwards,,6-0,174,4/10/1966,"Somerville, Mass.",72,,,,,,1986
Michigan,Paul Rossi,0,Forwards,,5-10,174,11/19/1965,"Birmingham, Mich.",70,,,,,,1986
Michigan,Jeff Urban,0,Forwards,So,6-2,194,3/23/1967,"Minnetonka, Minn.",74,,,,,,1986
Michigan,Timothy Makris,0,Goaltenders,,5-10,168,6/1/1966,"Marlborough, Mass.",70,,,,,,1986
Michigan,Glenn Neary,0,Goaltenders,Fr,6-2,198,8/26/1967,"Burlington, Vt.",74,,,,,,1986
Michigan,Michael Rossi,0,Goaltenders,,5-7,174,,"Flossmoor, Ill.",67,,,,,,1986
Michigan,Warren Sharples,0,Goaltenders,Fr,6-0,181,3/1/1968,"Montreal, Que.",72,,,,,,1986
Colorado College,Calvert Brown,0,Defensemen,Fr,6-0,194,1/13/1967,"Calgary, Alb.",72,,,,,,1986
Colorado College,Scott Campbell,0,Defensemen,Sr,5-11,205,7/9/1963,"Orangeville, Ont.",71,,,,,,1986
Colorado College,Doug Clarke,0,Defensemen,,6-0,190,2/29/1964,"Toronto, Ont.",72,,,,,,1986
Colorado College,Rob Doyle,0,Defensemen,Sr,6-0,194,2/10/1964,"Lindsay, Ont.",72,,,,,,1986
Colorado College,David Hardie,0,Defensemen,Sr,5-7,165,1/7/1963,"Penticton, B.C.",67,,,,,,1986
Colorado College,Kevin Hoffman,0,Defensemen,,6-0,185,,"Edmonton, Alb.",72,,,,,,1986
Colorado College,Paul Markovich,0,Defensemen,Jr,-,0,,"Grand Forks, N.D.",0,,,,,,1986
Colorado College,Harris Marks,0,Defensemen,,-,0,,"Willowdale, Ont.",0,,,,,,1986
Colorado College,Mark Olsen,0,Defensemen,So,-,0,9/6/1966,"Irvine, Texas",0,,,,,,1986
Colorado College,Thomas Pederson,0,Defensemen,Jr,-,0,,"Roseau, Minn.",0,,,,,,1986
Colorado College,Chris Anderson,0,Forwards,Fr,6-0,194,12/15/1966,"Surrey, B.C.",72,,,,,,1986
Colorado College,Rick Boh,0,Forwards,Sr,5-10,183,5/18/1964,"Dawson Creek, B.C.",70,,,,,,1986
Colorado College,Tim Budy,0,Forwards,So,5-11,181,2/14/1967,"Selkirk, Man.",71,,,,,,1986
Colorado College,Dan Cross,0,Forwards,,-,0,,"Burlington, Vt.",0,,,,,,1986
Colorado College,Guy Gadowsky,0,Forwards,So,6-1,181,8/10/1967,"Edmonton, Alb.",73,,,,,,1986
Colorado College,Steve Grumley,0,Forwards,,-,0,,"Edmonton, Alb.",0,,,,,,1986
Colorado College,Keith Hoppe,0,Forwards,Jr,-,0,,"St. Cloud, Minn.",0,,,,,,1986
Colorado College,Marty Ketola,0,Forwards,Sr,5-10,185,2/25/1965,"Cloquet, Minn.",70,,,,,,1986
