Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Cornell,Dwayne Ferguson,0,Defensemen,,5-10,170,,"Weston, Ont.",70,,,,,,1967
Cornell,Richard Fullan,0,Defensemen,,5-11,174,,"Toronto, Ont.",71,,,,,,1967
Cornell,Harold Hegland,0,Defensemen,,5-10,165,,"Lethbridge, Alb.",70,,,,,,1967
Cornell,Gordon Lowe,0,Defensemen,,5-11,185,0/0/1948,"Toronto, Ont.",71,,,,,,1967
Cornell,Ian Orr,0,Defensemen,,5-8,154,,"Port Credit, Ont.",68,,,,,,1967
Cornell,Bruce Pattison,0,Defensemen,,5-9,170,,"Aurora, Ont.",69,,,,,,1967
Cornell,Walter Stanowski,0,Defensemen,,6-1,194,9/10/1944,"Winnipeg, Man.",73,,,,,,1967
Cornell,Dick Bertrand,0,Forwards,,6-1,185,,"Connaught Station, Ont.",73,,,,,,1967
Cornell,Brian Cornell,0,Forwards,,6-0,174,,"Niagara Falls, Ont.",72,,,,,,1967
Cornell,Ted Coviello,0,Forwards,,5-10,161,,"Saskatoon, Sask.",70,,,,,,1967
Cornell,Andrew Crowley,0,Forwards,,5-8,185,,"Framingham, Mass.",68,,,,,,1967
Cornell,Steve Giuliani,0,Forwards,,6-0,165,,"Toronto, Ont.",72,,,,,,1967
Cornell,Frank Grace,0,Forwards,,5-10,170,8/22/1948,"Toronto, Ont.",70,,,,,,1967
Cornell,John Hughes,0,Forwards,,5-9,165,,"Toronto, Ont.",69,,,,,,1967
Cornell,William Lewis,0,Forwards,,5-10,154,,"Scarborough, Ont.",70,,,,,,1967
Cornell,Daniel Lodboa,0,Forwards,,5-8,170,9/25/1946,"Thorold, Ont.",68,,,,,,1967
Cornell,William Mackay,0,Forwards,,5-10,181,,"Haileybury, Ont.",70,,,,,,1967
Cornell,Robert McGuinn,0,Forwards,,6-1,181,,"Toronto, Ont.",73,,,,,,1967
Cornell,Garth Ryan,0,Forwards,,5-9,161,,"Kirkland Lake, Ont.",69,,,,,,1967
Cornell,Peter Tufford,0,Forwards,,5-8,161,,"St. Catharines, Ont.",68,,,,,,1967
Cornell,James Wallace,0,Forwards,,5-11,161,,"Richfield, Minn.",71,,,,,,1967
Cornell,Ken Dryden,0,Goaltenders,Jr,6-4,207,8/8/1947,"Hamilton, Ont.",76,,,,,,1967
Cornell,George Swan,0,Goaltenders,,5-7,154,,"Barrie, Ont.",67,,,,,,1967
Harvard,Robert Carr Jr.,0,Defensemen,,5-10,179,,"Arlington, Mass.",70,,,,,,1967
Harvard,Terrance Flaman,0,Defensemen,,5-11,174,0/0/1947,"Palos Verdes Estates, Calif.",71,,,,,,1967
Harvard,Christopher Gurry,0,Defensemen,,5-11,165,,"Andover, Mass.",71,,,,,,1967
Harvard,Tom Micheletti,0,Defensemen,,5-10,190,,"Hibbing, Minn.",70,,,,,,1967
Harvard,Robert Bauer,0,Forwards,,5-9,165,,"Kitchener, Ont.",69,,,,,,1967
Harvard,Ford Fraker,0,Forwards,Fr,-,0,,,0,,,,,,1967
Harvard,Robert Fredo,0,Forwards,,5-10,170,,"Arlington, Mass.",70,,,,,,1967
Harvard,John Garrity Jr.,0,Forwards,,6-0,181,,"Weymouth, Mass.",72,,,,,,1967
Harvard,Donald Grimble,0,Forwards,,5-8,165,,"Edmonton, Alb.",68,,,,,,1967
Harvard,Ronald Mark,0,Forwards,,5-8,161,,"Kitchener, Ont.",68,,,,,,1967
Harvard,George McManama,0,Forwards,,5-10,185,,"Belmont, Mass.",70,,,,,,1967
Harvard,Peter Mueller,0,Forwards,,5-8,170,,"Belmont, Mass.",68,,,,,,1967
Harvard,James Otness,0,Forwards,,5-10,161,,"Portland, Ore.",70,,,,,,1967
Harvard,Kent Parrot,0,Forwards,,5-11,170,,"Belmont, Mass.",71,,,,,,1967
Harvard,John Turco,0,Forwards,,5-9,170,,"Melrose, Mass.",69,,,,,,1967
Harvard,Dwight Ware,0,Forwards,,5-8,146,,"Lynn, Mass.",68,,,,,,1967
Harvard,William Diercks,0,Goaltenders,,5-6,130,5/31/1947,"St. Louis, Mo.",66,,,,,,1967
Harvard,Kenneth Erickson,0,Goaltenders,,5-9,161,,"Hopkins, Minn.",69,,,,,,1967
Harvard,Robert Higgins,0,Goaltenders,,5-11,165,,"Melrose, Mass.",71,,,,,,1967
North Dakota,Terry Abram,0,Defensemen,,-,0,2/14/1947,"South St. Paul, Minn.",0,,,,,,1967
North Dakota,Mike Baumgartner,0,Defensemen,Fr,6-2,194,1/30/1949,"Roseau, Minn.",74,,,,,,1967
North Dakota,Gary Brandt,0,Defensemen,,-,0,,"Salol, Minn.",0,,,,,,1967
North Dakota,Michael Furlong,0,Defensemen,,-,0,,"Dryden, Ont.",0,,,,,,1967
North Dakota,Kenneth Hankerson,0,Defensemen,,-,0,,"Grand Forks, N.D.",0,,,,,,1967
North Dakota,John Marks,0,Defensemen,,6-1,183,3/22/1948,"Winnipeg, Man.",73,,,,,,1967
North Dakota,Terry Ogden,0,Defensemen,,-,0,,"Fort Frances, Ont.",0,,,,,,1967
North Dakota,Roger Bamburak,0,Forwards,,5-9,168,12/28/1946,"Winnipeg, Man.",69,,,,,,1967
North Dakota,Rodney Christensen,0,Forwards,,-,0,,"International Falls, Minn.",0,,,,,,1967
North Dakota,Larry Dobson,0,Forwards,,-,0,,"Flin Flon, Man.",0,,,,,,1967
North Dakota,Hugh Dunn,0,Forwards,,-,0,,"Fort St. John, B.C.",0,,,,,,1967
North Dakota,John Gasparini,0,Forwards,,-,0,,"Fort Frances, Ont.",0,,,,,,1967
North Dakota,Dave Hudson,0,Forwards,So,6-0,185,12/28/1949,"St. Thomas, Ont.",72,,,,,,1967
North Dakota,Douglas Johnston,0,Forwards,,-,0,,"Harriston, Ont.",0,,,,,,1967
North Dakota,Dave Kartio,0,Forwards,,-,0,12/16/1946,"South Porcupine, Ont.",0,,,,,,1967
North Dakota,Gary Lyons,0,Forwards,,-,0,,"Baudette, Minn.",0,,,,,,1967
North Dakota,John Mathews,0,Forwards,,-,0,,"Winnipeg, Man.",0,,,,,,1967
North Dakota,Bob Munro,0,Forwards,,5-9,161,8/6/1946,"Fort William, Ont.",69,,,,,,1967
North Dakota,Robert Tuff,0,Forwards,,5-10,185,,"Calgary, Alb.",70,,,,,,1967
North Dakota,Mike Curran,0,Goaltenders,,5-9,172,4/14/1944,"International Falls, Minn.",69,,,,,,1967
North Dakota,Gary Severson,0,Goaltenders,,-,0,,"Grand Forks, N.D.",0,,,,,,1967
Northeastern,Dean Anderson,0,Defensemen,,5-11,190,,"Swampscott, Mass.",71,,,,,,1967
Northeastern,Tom Daniels,0,Defensemen,,6-0,174,,"New Hamburg, Ont.",72,,,,,,1967
Northeastern,Jim Hampe,0,Defensemen,,6-0,185,,"Dedham, Mass.",72,,,,,,1967
Northeastern,John Sullivan,0,Defensemen,,6-1,190,,"Woburn, Mass.",73,,,,,,1967
Northeastern,Lorne Tanner,0,Defensemen,,5-11,181,,"Willowdale, Ont.",71,,,,,,1967
Northeastern,John Cronin,0,Forwards,,-,0,,"South Boston, Mass.",0,,,,,,1967
Northeastern,Jacques Desjardins,0,Forwards,,-,0,,"Bristol, Conn.",0,,,,,,1967
Northeastern,Dick Heagle,0,Forwards,,5-8,161,,"Cornwall, Ont.",68,,,,,,1967
Northeastern,Tom Koslowski,0,Forwards,,6-0,185,,"Belmont, Mass.",72,,,,,,1967
Northeastern,Bob MacCausland,0,Forwards,,5-11,161,,"Waltham, Mass.",71,,,,,,1967
Northeastern,Ed McCarty,0,Forwards,,5-8,150,,"Medford, Mass.",68,,,,,,1967
Northeastern,David Poile,0,Forwards,,5-11,181,2/14/1950,"Toronto, Ont.",71,,,,,,1967
Northeastern,Eric Porter,0,Forwards,,5-8,154,,"Iroquois Falls, Ont.",68,,,,,,1967
Northeastern,Jack Roche,0,Forwards,,5-9,150,,"Dedham, Mass.",69,,,,,,1967
Northeastern,Joe Sarno,0,Forwards,,5-7,134,,"Medford, Mass.",67,,,,,,1967
Northeastern,Don Taylor,0,Forwards,,5-7,150,,"Toronto, Ont.",67,,,,,,1967
Northeastern,Ken Leu,0,Goaltenders,,6-0,201,,"New Hamburg, Ont.",72,,,,,,1967
Wisconsin,Charlie Burrough,0,Defensemen,,5-10,194,10/30/1948,"Minneapolis, Minn.",70,,,,,,1967
Wisconsin,Dean Connor,0,Defensemen,,5-10,165,7/3/1948,"Madison, Wis.",70,,,,,,1967
Wisconsin,Robert Leevers,0,Defensemen,,5-11,190,4/7/1947,"Devils Lake, N.D.",71,,,,,,1967
Wisconsin,Douglas McFadyen,0,Defensemen,,6-4,201,11/28/1948,"Calgary, Alb.",76,,,,,,1967
Wisconsin,Tony Metro,0,Defensemen,,5-9,174,,"Sault Ste. Marie, Mich.",69,,,,,,1967
Wisconsin,John Moran,0,Defensemen,,5-11,194,,"Devils Lake, N.D.",71,,,,,,1967
Wisconsin,Ronald Rutlin,0,Defensemen,,5-8,174,,"Madison, Wis.",68,,,,,,1967
Wisconsin,Jeff Carlson,0,Forwards,,5-8,154,,"Excelsior, Minn.",68,,,,,,1967
Wisconsin,Michael Cowan,0,Forwards,,5-4,154,6/15/1947,"Superior, Wis.",64,,,,,,1967
Wisconsin,Delbert Dehate,0,Forwards,So,-,0,1/13/1947,"St. Paul, Minn.",0,,,,,,1967
Wisconsin,Mark Fitzgerald,0,Forwards,,5-10,181,5/11/1947,"Superior, Wis.",70,,,,,,1967
Wisconsin,Michael Gleffe,0,Forwards,,5-10,170,10/13/1947,"Green Bay, Wis.",70,,,,,,1967
Wisconsin,Richard Klipsic,0,Forwards,,5-9,154,10/21/1948,"Rochester, Minn.",69,,,,,,1967
Wisconsin,Terry Lennartson,0,Forwards,,5-9,165,,"Mahtomedi, Minn.",69,,,,,,1967
Wisconsin,Joe Middleburg,0,Forwards,,6-0,174,,"Denver, Colo.",72,,,,,,1967
Wisconsin,Gregory Nelson,0,Forwards,,5-9,170,3/3/1947,"Fond du Lac, Wis.",69,,,,,,1967
Wisconsin,Thomas Obrodovich,0,Forwards,,6-2,181,,"Eagle River, Wis.",74,,,,,,1967
Wisconsin,Bob Poffenroth,0,Forwards,,5-7,161,4/3/1948,"Calgary, Alb.",67,,,,,,1967
Wisconsin,David Smith,0,Forwards,,5-7,154,12/26/1946,"Regina, Sask.",67,,,,,,1967
Wisconsin,Bryan Teed,0,Forwards,,6-0,170,,"Calgary, Alb.",72,,,,,,1967
Wisconsin,Donald Young,0,Forwards,,5-8,150,11/7/1947,"London, Ont.",68,,,,,,1967
Wisconsin,Larry Peterson,0,Goaltenders,,5-6,161,,"Wayzata, Minn.",66,,,,,,1967
Wisconsin,Wayne Thomas,0,Goaltenders,,6-1,205,9/9/1947,"Ottawa, Ont.",73,,,,,,1967
Wisconsin,Bob Vroman,0,Goaltenders,So,5-11,161,8/5/1948,"Bloomington, Minn.",71,,,,,,1967
Colgate,John Anderson,0,Defensemen,,-,0,,"Grafton, N.D.",0,,,,,,1967
Colgate,Thomas Coseo,0,Defensemen,,5-9,183,,"Canton, N.Y.",69,,,,,,1967
Colgate,John Coseo,0,Defensemen,,-,0,,"Canton, N.Y.",0,,,,,,1967
Colgate,Dick McGlynn,0,Defensemen,So,6-0,190,6/19/1948,"Medford, Mass.",72,,,,,,1967
Colgate,William Simpson,0,Defensemen,,-,0,,"Ann Arbor, Mich.",0,,,,,,1967
Colgate,Robert Stanley,0,Defensemen,,-,0,,"Minneapolis, Minn.",0,,,,,,1967
Colgate,Michael Webb,0,Defensemen,,-,0,,"London, Ont.",0,,,,,,1967
Colgate,Michael Babcock,0,Forwards,,-,0,,"Kingston, Ont.",0,,,,,,1967
Colgate,William Dandy,0,Forwards,,6-2,201,,"Welland, Ont.",74,,,,,,1967
Colgate,Thomas Dungan,0,Forwards,,5-9,150,,"White Plains, N.Y.",69,,,,,,1967
Colgate,Tommy Earl,0,Forwards,,5-10,161,6/10/1947,"Niagara Falls, Ont.",70,,,,,,1967
Colgate,Michael Finnegan,0,Forwards,,5-11,187,0/0/1947,"Massena, N.Y.",71,,,,,,1967
Colgate,Kevin Fleming,0,Forwards,,-,0,,"Brookline, Mass.",0,,,,,,1967
Colgate,Thomas Huntzicker,0,Forwards,,-,0,,"Ann Arbor, Mich.",0,,,,,,1967
Colgate,Robert Keen,0,Forwards,,-,0,,"Ann Arbor, Mich.",0,,,,,,1967
Colgate,Terry MacLaughlin,0,Forwards,,5-6,150,,"Newton, Mass.",66,,,,,,1967
Colgate,Dennis Webster,0,Forwards,,-,0,,"Dresden, Ont.",0,,,,,,1967
Colgate,Greg Wentz,0,Forwards,,-,0,0/0/1945,"Grafton, N.D.",0,,,,,,1967
Colgate,John Haney,0,Goaltenders,,-,0,0/0/1946,"Toronto, Ont.",0,,,,,,1967
Colgate,John McGlynn,0,Goaltenders,,-,0,,"Malden, Mass.",0,,,,,,1967
Colgate,Nick Pendorf,0,Goaltenders,,-,0,,"Rome, N.Y.",0,,,,,,1967
Michigan State,Richard Bois,0,Defensemen,,-,0,,"Espanola, Ont.",0,,,,,,1967
Michigan State,Robert DeMarco,0,Defensemen,Jr,5-10,165,,"Sudbury, Ont.",70,,,,,,1967
Michigan State,Michael DeMarco,0,Defensemen,Fr,5-11,181,4/11/1947,"Sudbury, Ont.",71,,,,,,1967
Michigan State,Douglas French,0,Defensemen,,-,0,,"Espanola, Ont.",0,,,,,,1967
Michigan State,John Juntikka,0,Defensemen,,5-10,185,0/0/1947,"Houghton, Mich.",70,,,,,,1967
Michigan State,Ronald Springer,0,Defensemen,,-,0,,"St. Clair Shores, Mich.",0,,,,,,1967
Michigan State,Kenneth Anstey,0,Forwards,Jr,5-10,174,,"Sudbury, Ont.",70,,,,,,1967
Michigan State,Tom Campbell,0,Forwards,,-,0,,,0,,,,,,1967
Michigan State,Nino Cristofoli,0,Forwards,Sr,-,0,,"Trail, B.C.",0,,,,,,1967
