Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Dartmouth,James Allen,0,Defensemen,,-,0,,,0,,,,,,1936
Dartmouth,Gordon Bennett,0,Defensemen,,-,0,,,0,,,,,,1936
Dartmouth,James Feeley,0,Defensemen,,-,0,,"Cambridge, Mass.",0,,,,,,1936
Dartmouth,Donald Otis,0,Defensemen,,6-1,201,,,73,,,,,,1936
Dartmouth,Larry Pleasants,0,Defensemen,,-,0,,,0,,,,,,1936
Dartmouth,Gordon Clark,0,Forwards,,-,0,,,0,,,,,,1936
Dartmouth,John Costello,0,Forwards,,-,0,,"Lowell, Mass.",0,,,,,,1936
Dartmouth,Robert Egelhoff,0,Forwards,,-,0,,"Otsego, N.Y.",0,,,,,,1936
Dartmouth,Albert Foster,0,Forwards,,-,0,,,0,,,,,,1936
Dartmouth,Richard Lewis,0,Forwards,,-,0,,"Melrose, Mass.",0,,,,,,1936
Dartmouth,Forest Mather,0,Forwards,,-,0,,"Wellesley, Mass.",0,,,,,,1936
Dartmouth,Louis Merriam,0,Forwards,,-,0,,"Greenfield, Mass.",0,,,,,,1936
Dartmouth,Winthrop Taft,0,Forwards,,-,0,,"Cambridge, Mass.",0,,,,,,1936
Dartmouth,David Walsh,0,Forwards,,-,0,,"Walpole, Mass.",0,,,,,,1936
Dartmouth,John Faegre,0,Goaltenders,,-,0,,,0,,,,,,1936
Dartmouth,Wesley Goding,0,Goaltenders,So,-,0,,,0,,,,,,1936
Dartmouth,Earle Seeley,0,Goaltenders,,-,0,,,0,,,,,,1936
Harvard,Russel Allen,0,Defensemen,,-,0,,,0,,,,,,1936
Harvard,Charles Bellows,0,Defensemen,,-,0,,,0,,,,,,1936
Harvard,Eugene Emerson,0,Defensemen,,-,0,,,0,,,,,,1936
Harvard,Samuel Hicks Jr.,0,Defensemen,,-,0,,,0,,,,,,1936
Harvard,John Callaway,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,Louis Carr,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,Edward Cutter,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,Frederic De Rahm,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,Leo Ecker,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,George Ford,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,Robert Gorham,0,Forwards,,-,0,1/15/1918,"Cambridge, Mass.",0,,,,,,1936
Harvard,Austin Harding Jr.,0,Forwards,,-,0,9/26/1917,"Natick, Mass.",0,,,,,,1936
Harvard,Winthrop Jameson,0,Forwards,,-,0,7/8/1916,"Cambridge, Mass.",0,,,,,,1936
Harvard,Howard Kellogg,0,Forwards,,-,0,9/11/1915,"Keokuk, Iowa",0,,,,,,1936
Harvard,John Mechem,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,Joseph Patrick,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,Ralph Pope Jr.,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,George Roberts,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,Peter Stone,0,Forwards,,-,0,,,0,,,,,,1936
Harvard,James Kidder,0,Goaltenders,,-,0,6/21/1915,"Medford, Mass.",0,,,,,,1936
Harvard,George Mahoney,0,Goaltenders,,-,0,,,0,,,,,,1936
Princeton,W.R. Barrett,0,Defensemen,,-,0,,,0,,,,,,1936
Princeton,Robert Burke,0,Defensemen,,-,0,,,0,,,,,,1936
Princeton,Harry Fraker,0,Defensemen,,-,0,,,0,,,,,,1936
