Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Mass Agricultural,David Buttrick,0,Forwards,Jr,-,0,,,0,,,,,,1915
Mass Agricultural,Ray Chisholm,0,Forwards,Sr,-,0,,,0,,,,,,1915
Mass Agricultural,Charles Fernald,0,Forwards,Sr,-,0,,,0,,,,,,1915
Mass Agricultural,Philip Plaisted,0,Forwards,,-,0,,,0,,,,,,1915
Mass Agricultural,Louis Ross,0,Forwards,Jr,-,0,,,0,,,,,,1915
Mass Agricultural,Everett Sanderson,0,Forwards,,-,0,,,0,,,,,,1915
Mass Agricultural,Garrick Wildon,0,Forwards,,-,0,,,0,,,,,,1915
Mass Agricultural,Harold Wooley,0,Forwards,Sr,-,0,,,0,,,,,,1915
Cornell,Converse Hill,0,Defensemen,,-,0,,"Lexington, Mass.",0,,,,,,1915
Cornell,Francis Hunter,0,Defensemen,,-,0,6/28/1894,"New York, N.Y.",0,,,,,,1915
Cornell,James Babbitt,0,Forwards,,-,0,10/13/1893,"New York, N.Y.",0,,,,,,1915
Cornell,Watson Harding,0,Forwards,,-,0,9/10/1895,"Wyckoff, N.J.",0,,,,,,1915
Cornell,John Harding Jr.,0,Forwards,,-,0,12/0/1891,"Saranac Lake, N.Y.",0,,,,,,1915
Cornell,Frederick Spiegelberg Jr.,0,Forwards,,-,0,11/17/1895,"New York, N.Y.",0,,,,,,1915
Cornell,Ralph Myers,0,Goaltenders,,-,0,,"Pittsburgh, Pa.",0,,,,,,1915
Harvard,Thomas Eckfeldt,0,Defensemen,,-,0,,,0,,,,,,1915
Harvard,John Morgan,0,Defensemen,,-,0,,,0,,,,,,1915
Harvard,H.M. Bliss,0,Forwards,,-,0,,,0,,,,,,1915
Harvard,Clarence Clark,0,Forwards,,-,0,,,0,,,,,,1915
Harvard,Laurence Curtis,0,Forwards,,-,0,,"Boston, Mass.",0,,,,,,1915
Harvard,Augustus Doty,0,Forwards,,-,0,,"Waltham, Mass.",0,,,,,,1915
Harvard,Thomas Fisher,0,Forwards,,-,0,,"Leominster, Mass.",0,,,,,,1915
Harvard,William Morgan,0,Forwards,,-,0,,"Highland Park, Ill.",0,,,,,,1915
Harvard,George Percy,0,Forwards,,-,0,,"Arlington, Mass.",0,,,,,,1915
Harvard,Theodore Rice,0,Forwards,,-,0,,,0,,,,,,1915
Harvard,Thomas Thacher,0,Forwards,,-,0,,,0,,,,,,1915
Harvard,John Wylde,0,Goaltenders,,-,0,,"Boston, Mass.",0,,,,,,1915
Dartmouth,Lewis Cousens,0,Defensemen,,-,0,,"Arlington, Mass.",0,,,,,,1915
Dartmouth,Harris Murchie,0,Defensemen,,-,0,,"Somerville, Mass.",0,,,,,,1915
Dartmouth,Samuel Cutler,0,Forwards,,-,0,6/12/1892,"Somerville, Mass.",0,,,,,,1915
Dartmouth,Gerry Geran,0,Forwards,,5-9,179,8/3/1896,"Holyoke, Mass.",69,,,,,,1915
Dartmouth,Carl Holmes,0,Forwards,,-,0,,"Somerville, Mass.",0,,,,,,1915
Dartmouth,Gerold Rector,0,Forwards,,-,0,,,0,,,,,,1915
Dartmouth,Ralph Tyler,0,Forwards,,-,0,,"Exeter, N.H.",0,,,,,,1915
Dartmouth,Donald Scully,0,Goaltenders,,-,0,,"Arlington, Mass.",0,,,,,,1915
Yale,Earl Gould,0,Forwards,,-,0,,,0,,,,,,1915
Yale,Holcomb York,0,Goaltenders,,-,0,,,0,,,,,,1915
