Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Dartmouth,John Brower,0,Defensemen,,-,0,,,0,,,,,,1950
Dartmouth,Mike Choukas,0,Forwards,,-,0,,,0,,,,,,1950
Dartmouth,William Dow,0,Forwards,,-,0,,,0,,,,,,1950
Dartmouth,John Grocott,0,Forwards,,-,0,2/15/1930,"Melrose, Mass.",0,,,,,,1950
Dartmouth,Clifford Harrison,0,Forwards,Sr,-,0,10/30/1927,"Walpole, Mass.",0,,,,,,1950
Dartmouth,George Scully,0,Forwards,,-,0,,"Boston, Mass.",0,,,,,,1950
Dartmouth,Eugene Teevens II,0,Forwards,,-,0,,,0,,,,,,1950
Dartmouth,Frederick Hitt,0,Goaltenders,,-,0,,,0,,,,,,1950
Dartmouth,Richard McMahon,0,Goaltenders,,-,0,,,0,,,,,,1950
Dartmouth,Haviland Smith,0,Goaltenders,,-,0,,,0,,,,,,1950
Minnesota,Edwin Broughton,0,Defensemen,,-,0,,"Roseau, Minn.",0,,,,,,1950
Minnesota,Earl Glidden,0,Defensemen,,-,181,,,0,,,,,,1950
Minnesota,Leo Goslin,0,Defensemen,,-,0,,,0,,,,,,1950
Minnesota,Frank Larson,0,Defensemen,,-,174,,"St. Paul, Minn.",0,,,,,,1950
Minnesota,Charles Massie,0,Defensemen,,-,0,,"Minneapolis, Minn.",0,,,,,,1950
Minnesota,Jim Sedin,0,Defensemen,,5-11,174,6/25/1930,"St. Paul, Minn.",71,,,,,,1950
Minnesota,Tom Wegleitner,0,Defensemen,,-,0,,"St. Paul, Minn.",0,,,,,,1950
Minnesota,Harry Adams,0,Forwards,,-,0,,"Minneapolis, Minn.",0,,,,,,1950
Minnesota,John Amatuzio,0,Forwards,,-,0,,"Duluth, Minn.",0,,,,,,1950
Minnesota,Ruben Bjorkman,0,Forwards,,-,0,2/27/1929,"Roseau, Minn.",0,,,,,,1950
Minnesota,Donald Bodin,0,Forwards,,-,0,,"Duluth, Minn.",0,,,,,,1950
