Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Boston University,Dave Carver,0,Defensemen,,-,0,,,0,,,,,,1960
Boston University,Donald Goguen,0,Defensemen,,5-10,185,,"Valois, Que.",70,,,,,,1960
Boston University,Jim Higgins,0,Defensemen,,-,0,,"Cambridge, Mass.",0,,,,,,1960
Boston University,Pete McCann,0,Defensemen,,6-0,174,,"Framingham, Mass.",72,,,,,,1960
Boston University,Russ McCurdy,0,Defensemen,,6-2,201,8/18/1939,"Pawtucket, R.I.",74,,,,,,1960
Boston University,Francis McFaun,0,Defensemen,,-,0,,,0,,,,,,1960
Boston University,Bob Smith,0,Defensemen,,-,0,,,0,,,,,,1960
Boston University,Edmund Connors,0,Forwards,,-,0,,,0,,,,,,1960
Boston University,Mike Denihan,0,Forwards,,-,0,,,0,,,,,,1960
Boston University,Peter Fitzgerald,0,Forwards,,-,0,,,0,,,,,,1960
Boston University,Dick Fogerty,0,Forwards,,-,0,,,0,,,,,,1960
Boston University,Paul Hughes,0,Forwards,,6-1,190,,"Natick, Mass.",73,,,,,,1960
Boston University,John Leahy,0,Forwards,,-,0,,"Somerville, Mass.",0,,,,,,1960
Boston University,Dave MacLeod,0,Forwards,Sr,6-1,183,0/0/1935,"Charlottetown, P.E.I.",73,,,,,,1960
Boston University,David Mahoney,0,Forwards,,5-7,165,,"Arlington, Mass.",67,,,,,,1960
Boston University,John McBride,0,Forwards,,-,0,,,0,,,,,,1960
Boston University,Bill Quinn,0,Forwards,,5-10,161,,"Somerville, Mass.",70,,,,,,1960
Boston University,Bob Rowan,0,Forwards,,-,0,,,0,,,,,,1960
Boston University,Donald Spinney,0,Forwards,,5-10,174,,"Lynn, Mass.",70,,,,,,1960
Boston University,Glen Eberly,0,Goaltenders,,-,0,,,0,,,,,,1960
Boston University,Barry Urbanski,0,Goaltenders,,5-11,185,,"Danvers, Mass.",71,,,,,,1960
Harvard,David Crosby,0,Defensemen,,6-1,183,,"Weston, Mass.",73,,,,,,1960
Harvard,Robert Anderson,0,Defensemen,,-,0,,"Minneapolis, Minn.",0,,,,,,1960
Harvard,David Grannis,0,Defensemen,,6-0,185,,"South St. Paul, Minn.",72,,,,,,1960
Harvard,Howard Howell Jr.,0,Defensemen,,6-2,190,,"Arlington, Mass.",74,,,,,,1960
Harvard,David Johnston,0,Defensemen,,5-10,165,6/28/1941,"Sudbury, Ont.",70,,,,,,1960
Harvard,Robert McCoy,0,Defensemen,,5-11,174,,"Upper Montclair, N.J.",71,,,,,,1960
Harvard,Crocker Snow Jr.,0,Forwards,,6-0,174,,"Ipswich, Mass.",72,,,,,,1960
Harvard,Benjamin Baker,0,Forwards,,-,0,,,0,,,,,,1960
Harvard,William Beckett,0,Forwards,,5-10,165,,"Weston, Mass.",70,,,,,,1960
Harvard,Richard Blakey,0,Forwards,,5-10,150,,"Sudbury, Ont.",70,,,,,,1960
Harvard,A. Dean Alpine,0,Forwards,,5-11,174,,"North Plainfield, N.J.",71,,,,,,1960
Harvard,James Downes,0,Forwards,,5-5,146,,"Winchester, Mass.",65,,,,,,1960
Harvard,James Dwinnell III,0,Forwards,,6-0,170,,"Winchester, Mass.",72,,,,,,1960
Harvard,Stewart Forbes,0,Forwards,,6-0,174,,"Needham, Mass.",72,,,,,,1960
Harvard,Gordon Gund,0,Forwards,,-,0,10/15/1939,"Cleveland, Ohio",0,,,,,,1960
Harvard,Thomas Heintzman,0,Forwards,,5-10,165,,"Toronto, Ont.",70,,,,,,1960
Harvard,Theodore Ingalls,0,Forwards,,5-10,185,,"Sheridan, Wyo.",70,,,,,,1960
Harvard,Gerald Jorgenson,0,Forwards,,5-6,146,,"Thief River Falls, Minn.",66,,,,,,1960
Harvard,David Morse,0,Forwards,,6-0,165,,"Hingham, Mass.",72,,,,,,1960
Harvard,Christopher Norris,0,Forwards,,5-10,172,,"Westwood, Mass.",70,,,,,,1960
Harvard,Tim Taylor,0,Forwards,,6-1,165,3/26/1942,"Boston, Mass.",73,,,,,,1960
Harvard,Bruce Thomas,0,Forwards,,5-7,161,,"Exeter, N.H.",67,,,,,,1960
Harvard,Adam Winthrop,0,Forwards,,-,0,,,0,,,,,,1960
Harvard,Robert Bland,0,Goaltenders,,5-10,157,,"Chestnut Hill, Mass.",70,,,,,,1960
Harvard,Godfrey Wood,0,Goaltenders,,6-1,165,,"Brookline, Mass.",73,,,,,,1960
Northeastern,Tom Casey,0,Defensemen,,-,0,,,0,,,,,,1960
Northeastern,Phil Johnston,0,Defensemen,,-,0,,,0,,,,,,1960
Northeastern,John Palmer,0,Defensemen,,-,0,,,0,,,,,,1960
Northeastern,Art Chisholm,0,Forwards,,5-9,161,11/11/1934,"Arlington, Mass.",69,,,,,,1960
Northeastern,Joe Connelly,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,Gerry Cronin,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,Bill Delaney,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,Edward Dutczak,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,Ron Gaudet,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,David Lynch,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,James McElholm,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,Alfred Patrick,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,Wayne Spence,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,Walter Vient,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,Frank Waterman,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,Dean Webb,0,Forwards,,-,0,,"Natick, Mass.",0,,,,,,1960
Northeastern,Larry Weissbach,0,Forwards,,-,0,,,0,,,,,,1960
Northeastern,John Bishop,0,Goaltenders,,-,0,,,0,,,,,,1960
Northeastern,Thomas Brannelly,0,Goaltenders,,-,0,,,0,,,,,,1960
Northeastern,John Wilson,0,Goaltenders,Jr,-,0,,,0,,,,,,1960
Princeton,Page Chapman III,0,Defensemen,,-,0,,,0,,,,,,1960
Princeton,Christopher Gordon,0,Defensemen,,-,0,,,0,,,,,,1960
Princeton,Perry Hall II,0,Defensemen,,-,0,1/23/1938,"Short Hills, N.J.",0,,,,,,1960
Princeton,Britton Mockridge,0,Defensemen,,-,0,,,0,,,,,,1960
Princeton,Arthur Schwartz,0,Defensemen,,-,0,,"Syosset, N.Y.",0,,,,,,1960
Princeton,Austin Sullivan,0,Defensemen,,-,0,,,0,,,,,,1960
Princeton,John Cook,0,Forwards,,-,0,,"Kingston, N.J.",0,,,,,,1960
Princeton,Douglas Davis,0,Forwards,,-,0,,"Toronto, Ont.",0,,,,,,1960
Princeton,David Hersey,0,Forwards,,-,0,,"Wellesley, Mass.",0,,,,,,1960
Princeton,James Hyland,0,Forwards,,-,0,,,0,,,,,,1960
Princeton,William Miller,0,Forwards,,-,0,,,0,,,,,,1960
Princeton,Hugh Scott,0,Forwards,,-,0,,"Wellesley, Mass.",0,,,,,,1960
Princeton,James Wadsworth,0,Forwards,,-,161,,,0,,,,,,1960
Princeton,William Hill,0,Goaltenders,,-,0,,,0,,,,,,1960
Princeton,Clifford Michel,0,Goaltenders,,-,0,,,0,,,,,,1960
Princeton,Barend Van Gerbig II,0,Goaltenders,,-,0,,"New York, N.Y.",0,,,,,,1960
Michigan,Michael Hanov,0,Defensemen,,-,181,,"Windsor, Ont.",0,,,,,,1960
Michigan,Wayne Kartusch,0,Defensemen,,6-1,170,10/26/1939,"Regina, Sask.",73,,,,,,1960
Michigan,Ross Morrison,0,Defensemen,,5-11,181,2/20/1940,"Toronto, Ont.",71,,,,,,1960
Michigan,Bernard Nielsen,0,Defensemen,Sr,-,174,7/28/1937,"Minneapolis, Minn.",0,,,,,,1960
Michigan,John Palenstein,0,Defensemen,,-,181,,"Edam, Sask.",0,,,,,,1960
Michigan,Dennis Rhode,0,Defensemen,Jr,-,174,,"Swift Current, Sask.",0,,,,,,1960
Michigan,Donald Rodgers,0,Defensemen,So,6-1,190,,"Regina, Sask.",73,,,,,,1960
Michigan,Thomas Wilson,0,Defensemen,Sr,-,190,,"Cannington, Ont.",0,,,,,,1960
Michigan,Larry Babcock,0,Forwards,So,5-9,161,1/20/1940,"Chatham, Ont.",69,,,,,,1960
Michigan,Red Berenson,0,Forwards,,6-0,194,12/8/1939,"Regina, Sask.",72,,,,,,1960
Michigan,Ronald Coristine,0,Forwards,Fr,5-11,174,,"Chatham, Ont.",71,,,,,,1960
Michigan,Patrick Cushing,0,Forwards,Sr,-,181,12/15/1937,"Sudbury, Ont.",0,,,,,,1960
Michigan,George Forrest,0,Forwards,,5-10,170,,"Birmingham, Mich.",70,,,,,,1960
Michigan,Kenneth Hinnegan,0,Forwards,Jr,-,161,,"Chatham, Ont.",0,,,,,,1960
Michigan,William Kelly,0,Forwards,,-,165,,"Regina, Sask.",0,,,,,,1960
Michigan,Gerald Kolb,0,Forwards,,-,172,,"Unity, Sask.",0,,,,,,1960
Michigan,Joseph Lunghamer,0,Forwards,,-,0,,"North Battleford, Sask.",0,,,,,,1960
Michigan,Lorne MacDonald,0,Forwards,Sr,5-10,165,4/7/1939,"Russell, Man.",70,,,,,,1960
Michigan,John McGonigal,0,Forwards,So,5-11,170,,"Kapuskasing, Ont.",71,,,,,,1960
Michigan,Thomas Pendlebury,0,Forwards,So,5-10,170,,"Windsor, Ont.",70,,,,,,1960
Michigan,William White,0,Forwards,Jr,-,150,,"Regina, Sask.",0,,,,,,1960
Michigan,Gordon Wilkie,0,Forwards,Fr,6-1,181,,"Regina, Sask.",73,,,,,,1960
Michigan,William Butts,0,Goaltenders,So,5-10,161,,"Regina, Sask.",70,,,,,,1960
Michigan,James Coyle,0,Goaltenders,Sr,5-8,161,,"Delhi, Ont.",68,,,,,,1960
