Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Dartmouth,Manuel Benero Jr.,0,Defensemen,,-,0,,"Saranac Lake, N.Y.",0,,,,,,1945
Dartmouth,Crawford Campbell,0,Defensemen,,-,0,,"Manchester, N.H.",0,,,,,,1945
Dartmouth,Harold Cannon,0,Defensemen,,-,0,,,0,,,,,,1945
Dartmouth,Ed Hughes,0,Defensemen,,-,0,,,0,,,,,,1945
Dartmouth,Joseph Kraatz,0,Defensemen,,-,0,,,0,,,,,,1945
Dartmouth,George Pulliam,0,Defensemen,,-,190,,"Cranston, R.I.",0,,,,,,1945
Dartmouth,Mike Thayer,0,Defensemen,,-,0,,,0,,,,,,1945
Dartmouth,Walter Crowley,0,Forwards,Fr,-,0,,"Worcester, Mass.",0,,,,,,1945
Dartmouth,Bruce Cunliffe,0,Forwards,,-,0,8/19/1925,"Keene, N.H.",0,,,,,,1945
Dartmouth,John Cunniff,0,Forwards,Sr,-,0,,,0,,,,,,1945
Dartmouth,Robert Grunditz,0,Forwards,,-,0,,,0,,,,,,1945
Dartmouth,Charles Holt,0,Forwards,,-,0,7/17/1922,"Melrose, Mass.",0,,,,,,1945
Dartmouth,John Kilmartin,0,Forwards,,-,0,,,0,,,,,,1945
Dartmouth,James Malone,0,Forwards,,-,0,,,0,,,,,,1945
Dartmouth,Bruce Mather,0,Forwards,Jr,5-8,150,7/25/1926,"Springfield, Mass.",68,,,,,,1945
Dartmouth,Robert Merriam,0,Forwards,,-,0,6/4/1924,"Greenfield, Mass.",0,,,,,,1945
Dartmouth,Edward Roewer,0,Forwards,,-,0,1/8/1921,"Cambridge, Mass.",0,,,,,,1945
Dartmouth,Ralph Warburton,0,Forwards,So,-,0,2/7/1924,"Cranston, R.I.",0,,,,,,1945
Dartmouth,Bennett Young,0,Forwards,,-,0,,"Lake Forest, Ill.",0,,,,,,1945
Dartmouth,Dick Desmond,0,Goaltenders,Fr,-,0,3/2/1927,"Medford, Mass.",0,,,,,,1945
Dartmouth,Bruce Magoon,0,Goaltenders,,-,0,,,0,,,,,,1945
Michigan,Clement Cossalter,0,Defensemen,,-,0,,"Eveleth, Minn.",0,,,,,,1945
Michigan,Conrad Hill,0,Defensemen,Fr,5-7,168,1/15/1918,"Copper Cliff, Ont.",67,,,,,,1945
Michigan,James Johnson,0,Defensemen,,-,0,,"Washington, DC",0,,,,,,1945
Michigan,Robert Marshall,0,Defensemen,,-,0,,"North Bay, Ont.",0,,,,,,1945
Michigan,Ross Smith,0,Defensemen,Fr,-,0,,"Toronto, Ont.",0,,,,,,1945
Michigan,Richard Starrak,0,Defensemen,Fr,-,0,5/26/1927,"Moose Jaw, Sask.",0,,,,,,1945
Michigan,Robert Arnot,0,Forwards,,-,0,,"Regina, Sask.",0,,,,,,1945
Michigan,Neil Celley,0,Forwards,Fr,-,0,,"Eveleth, Minn.",0,,,,,,1945
Michigan,Walter Gacek,0,Forwards,Fr,-,0,,"Winnipeg, Man.",0,,,,,,1945
Michigan,Wallace Grant,0,Forwards,Fr,5-8,165,12/8/1927,"Leonidas, Minn.",68,,,,,,1945
Michigan,William Jacobson,0,Forwards,,5-10,165,,"Saskatoon, Sask.",70,,,,,,1945
Michigan,Chester Kuzniar,0,Forwards,,5-7,157,,"Sudbury, Ont.",67,,,,,,1945
Michigan,Gordon McMillan,0,Forwards,Fr,-,0,0/0/1927,"Moose Jaw, Sask.",0,,,,,,1945
