Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Princeton,Hobey Baker,0,Forwards,Fr,5-9,161,1/15/1892,"Wisahicton, Pa.",69,,,,,,1910
Cornell,Scott Blanchard,0,Defensemen,,-,0,5/27/1888,,0,,,,,,1910
Cornell,Foster Haist,0,Defensemen,,-,0,0/0/1889,,0,,,,,,1910
Cornell,William Matchneer,0,Defensemen,Sr,-,0,12/4/1886,,0,,,,,,1910
Cornell,Frank Crassweller,0,Forwards,,-,0,10/13/1887,"Huron, Ont.",0,,,,,,1910
Cornell,George Evans,0,Forwards,,-,0,11/24/1888,"Great Barrington, Mass.",0,,,,,,1910
Cornell,Edmund Magner,0,Forwards,,-,0,2/10/1888,"Kalamazoo, Mich.",0,,,,,,1910
Cornell,Edward Scheu,0,Forwards,,-,0,8/28/1890,"Buffalo, N.Y.",0,,,,,,1910
Cornell,Jefferson Vincent,0,Forwards,,-,0,,,0,,,,,,1910
Cornell,Malcolm Vail,0,Goaltenders,,-,0,10/4/1888,"Highland Park, Ill.",0,,,,,,1910
Harvard,Robert Blackall,0,Defensemen,,5-9,168,4/26/1889,"Cambridge, Mass.",69,,,,,,1910
Harvard,Newton Foster,0,Defensemen,,-,0,,,0,,,,,,1910
Harvard,Philip Houston,0,Defensemen,,5-11,161,,,71,,,,,,1910
Harvard,Robert Duncan,0,Forwards,,5-6,132,,,66,,,,,,1910
Harvard,Ralph Hornblower,0,Forwards,,-,0,11/17/1892,,0,,,,,,1910
Harvard,Frederic Huntington,0,Forwards,,5-8,165,12/5/1889,"Ashfield, Mass.",68,,,,,,1910
Harvard,Franklin Palmer,0,Forwards,,5-8,141,,"Plattsburgh, N.Y.",68,,,,,,1910
Harvard,Edward Pierce Jr.,0,Forwards,,5-7,143,6/17/1889,"Fitchburg, Mass.",67,,,,,,1910
Harvard,Oliver Chadwick,0,Goaltenders,,-,0,9/23/1888,"Lowell, Mass.",0,,,,,,1910
Harvard,Henry Gardner,0,Goaltenders,,5-9,152,,,69,,,,,,1910
Harvard,Stephen Smart,0,Goaltenders,Jr,5-7,150,,,67,,,,,,1910
Dartmouth,Gardner Bullard,0,Defensemen,,-,0,9/2/1889,,0,,,,,,1910
Dartmouth,George Luhman,0,Defensemen,,-,0,,"New Rochelle, N.Y.",0,,,,,,1910
Dartmouth,Sargent Eaton,0,Forwards,,-,0,,,0,,,,,,1910
Dartmouth,Frederick Eaton,0,Forwards,,-,0,,"Auburndale, Mass.",0,,,,,,1910
Dartmouth,William Mason,0,Forwards,,-,0,,"Boston, Mass.",0,,,,,,1910
Dartmouth,B.M. Patten,0,Forwards,,-,0,,,0,,,,,,1910
Dartmouth,Raymond Schulte,0,Forwards,,-,0,,,0,,,,,,1910
Dartmouth,Carl Wells,0,Forwards,,-,0,,"West Newton, Mass.",0,,,,,,1910
Dartmouth,Charles McCarthy,0,Goaltenders,,-,0,,,0,,,,,,1910
Dartmouth,Rolf Norris,0,Goaltenders,,-,0,,,0,,,,,,1910
Dartmouth,Henry Taylor,0,Goaltenders,,-,0,,,0,,,,,,1910
Yale,Louis Loutrel,0,Forwards,,-,0,,,0,,,,,,1910
Mass Agricultural,Arthur Ackerman,0,Forwards,Jr,-,0,,,0,,,,,,1910
Mass Agricultural,James Adams,0,Forwards,,-,0,,,0,,,,,,1910
Mass Agricultural,John Hutchinson,0,Forwards,,-,0,,,0,,,,,,1910
Mass Agricultural,Dittmar Jones,0,Forwards,Fr,-,0,,,0,,,,,,1910
Mass Agricultural,Lester Needham,0,Forwards,Fr,-,0,,,0,,,,,,1910
Mass Agricultural,Curtis Peckham,0,Forwards,Jr,-,0,,,0,,,,,,1910
Mass Agricultural,Harold Wooley,0,Forwards,Fr,-,0,,,0,,,,,,1910
